Geneid	Br44_3
RBP7	0
UBE4B	2
KIF1B	9
MIR1273D	0
PGD	23
APITD1-CORT	0
APITD1	0
CORT	0
DFFA	0
PEX14	0
CASZ1	0
C1orf127	0
TARDBP	0
MASP2	0
SRM	0
EXOSC10	5
MTOR	0
MTOR-AS1	0
ANGPTL7	0
UBIAD1	0
PTCHD2	0
RP1-69M21.2	0
FBXO2	0
FBXO44	0
FBXO6	0
MAD2L2	0
DRAXIN	0
AGTRAP	24
C1orf167	0
LOC102724659	0
MTHFR	0
CLCN6	0
NPPA-AS1	0
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	0
PLOD1	0
MFN2	0
MIIP	0
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	0
MIR4632	0
VPS13D	23
SNORA59A	0
DHRS3	0
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	0
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
PRAMEF5	0
PRAMEF8	0
PRAMEF15	0
PRAMEF19	0
PRAMEF17	0
PRAMEF20	0
LOC102724825	0
LRRC38	0
LOC102724856	0
PDPN	0
PRDM2	0
KAZN	0
TMEM51-AS1	0
TMEM51	0
C1orf195	0
FHAD1	0
LOC101927417	0
LOC101927441	0
EFHD2	0
CTRC	0
CELA2A	0
CELA2B	0
CASP9	0
DNAJC16	0
AGMAT	0
DDI2	0
RSC1A1	0
PLEKHM2	0
SLC25A34	0
TMEM82	0
LOC102724910	0
FBLIM1	0
UQCRHL	0
FLJ37453	0
SPEN	0
ZBTB17	5
LOC101928566	0
C1orf64	0
HSPB7	0
CLCNKA	0
CLCNKB	0
FAM131C	0
EPHA2	0
LOC101927479	0
ARHGEF19	0
LOC101927546	0
RSG1	0
FBXO42	0
SZRD1	9
SPATA21	0
NECAP2	0
CROCCP3	0
RNU1-1	0
TRNAN-GUU	0
LOC101060085	0
TRNAE-UUC	0
LOC102724970	0
FAM231B	0
TRNAG1	0
NBPF1	0
CROCCP2	0
LOC101927663	0
MST1P2	0
LOC102723343	0
RNU1-3	0
FAM231A	0
TRNAG-CCC	0
ESPNP	0
TRNAG10	0
LOC102723383	0
RNU1-4	0
MST1L	0
MIR3675	0
TRNAG28	0
LOC101927806	0
TRNAE1	0
TRNAN18	0
TRNAN2	0
RNU1-2	0
CROCC	0
MFAP2	0
ATP13A2	0
SDHB	0
PADI2	35
LOC400743	0
PADI1	0
PADI3	0
MIR3972	0
PADI4	73
PADI6	0
RCC2	0
LOC102723454	0
ARHGEF10L	0
ACTL8	0
RP11-174G17.2	0
IGSF21	0
KLHDC7A	0
PAX7	0
TAS1R2	0
ALDH4A1	0
MIR4695	0
MIR1290	0
IFFO2	0
UBR4	0
LOC101927895	0
EMC1	0
MRTO4	0
AKR7L	0
AKR7A3	0
LOC100506730	0
AKR7A2	0
PQLC2	0
CAPZB	69
LOC644083	0
MINOS1	13
MINOS1-NBL1	2
RPS14P3	0
NBL1	0
HTR6	0
TMCO4	0
RNF186	0
OTUD3	0
PLA2G2E	0
PLA2G2A	0
PLA2G5	0
PLA2G2D	0
PLA2G2F	0
PLA2G2C	0
UBXN10-AS1	0
UBXN10	0
VWA5B1	0
LINC01141	0
CAMK2N1	0
MUL1	0
FAM43B	0
CDA	19
PINK1	0
MIR6084	0
PINK1-AS	0
DDOST	4
KIF17	0
SH2D5	6
HP1BP3	18
EIF4G3	0
MIR1256	0
ECE1	0
RP5-1071N3.1	0
NBPF3	0
ALPL	0
RAP1GAP	0
USP48	0
LDLRAD2	0
HSPG2	0
LOC102723558	0
CELA3B	0
CELA3A	0
RP1-224A6.3	0
LINC00339	0
CDC42	72
WNT4	0
MIR4418	0
LOC101060363	0
ZBTB40	0
EPHA8	0
MIR6127	0
C1QA	0
C1QC	0
C1QB	0
EPHB2	0
MIR4684	0
MIR4253	0
LACTBL1	0
C1orf234	0
KDM1A	0
MIR3115	0
MIR4419A	0
LUZP1	0
HTR1D	0
RP5-1057J7.6	0
HNRNPR	0
ZNF436	0
C1orf213	0
TCEA3	0
ASAP3	0
E2F2	0
LOC101928163	0
ID3	0
MDS2	0
RPL11	29
TCEB3	0
RP5-886K2.3	0
PITHD1	0
LYPLA2	0
GALE	0
HMGCL	0
FUCA1	11
CNR2	0
MIR378F	0
PNRC2	0
SRSF10	0
MYOM3	0
IL22RA1	0
IFNLR1	0
RP11-10N16.2	0
GRHL3	0
STPG1	0
NIPAL3	4
RCAN3AS	0
RCAN3	0
LOC100506985	0
NCMAP	0
SRRM1	9
CLIC4	0
RUNX3	20
MIR6731	0
MIR4425	0
SYF2	4
C1orf63	0
RHD	0
LOC101928189	0
TMEM50A	11
RHCE	0
TMEM57	0
LDLRAP1	0
MAN1C1	0
SEPN1	0
LOC102723671	0
MTFR1L	2
LOC646471	11
AUNIP	0
PAQR7	0
STMN1	0
MIR3917	0
PAFAH2	0
EXTL1	0
LOC101928216	0
SLC30A2	0
TRIM63	0
PDIK1L	0
FAM110D	0
ZNF593	0
CNKSR1	0
CATSPER4	0
LOC101928303	0
CEP85	0
SH3BGRL3	40
UBXN11	4
CD52	34
AIM1L	0
ZNF683	0
LIN28A	0
DHDDS	0
RP3-476K8.3	0
HMGN2	2
RPS6KA1	0
MIR1976	0
LOC101928728	0
ARID1A	14
PIGV	0
ZDHHC18	0
SFN	0
GPN2	0
GPATCH3	0
NR0B2	0
NUDC	0
C1orf172	0
OSTCP2	0
TRNP1	0
FAM46B	0
LOC101928391	0
SLC9A1	0
LOC102723760	0
WDTC1	0
TMEM222	0
LOC644961	1
RNU6-48P	0
SYTL1	71
MAP3K6	0
FCN3	0
CD164L2	0
GPR3	0
WASF2	61
AHDC1	0
FGR	10
IFI6	0
FAM76A	0
STX12	0
PPP1R8	0
SCARNA1	9
THEMIS2	150
RPA2	0
SMPDL3B	0
XKR8	0
EYA3	0
PTAFR	64
DNAJC8	0
ATPIF1	0
SESN2	0
MED18	0
PHACTR4	31
SNHG3	0
RCC1	0
SNORA73A	0
RNU105A	0
TRNAU1AP	0
SNHG12	0
SNORD99	0
SNORA61	0
SNORA44	0
SNORA16A	0
RAB42	0
TAF12	0
RNU11	0
GMEB1	0
YTHDF2	0
OPRD1	0
EPB41	0
TMEM200B	0
SRSF4	0
MECR	0
PTPRU	0
RP3-437I16.1	0
RP11-111I12.1	0
MATN1	0
MATN1-AS1	0
LAPTM5	212
MIR4420	0
LOC400748	0
LOC102723832	0
SDC3	0
PUM1	0
SNORD103A	0
SNORD103B	0
SNORD85	0
LOC102723848	0
NKAIN1	0
SNRNP40	0
ZCCHC17	0
FABP3	0
SERINC2	0
RP11-439L8.3	0
RP11-439L8.4	0
TINAGL1	0
HCRTR1	0
PEF1	0
COL16A1	0
LOC101929444	0
BAI2	0
MIR4254	0
SPOCD1	0
PTP4A2	5
KHDRBS1	1
TMEM39B	0
MIR5585	0
KPNA6	0
TXLNA	0
CCDC28B	0
IQCC	0
DCDC2B	0
TMEM234	0
EIF3I	50
MTMR9LP	0
FAM167B	0
LCK	0
HDAC1	3
MARCKSL1	0
FAM229A	0
TSSK3	0
BSDC1	26
ZBTB8B	0
ZBTB8A	0
LOC102723870	0
ZBTB8OS	4
RBBP4	22
SYNC	14
KIAA1522	0
YARS	0
S100PBP	0
FNDC5	0
HPCA	0
TMEM54	0
RNF19B	6
AK2	27
ADC	0
TRIM62	0
ZNF362	0
A3GALT2	0
PHC2	30
MIR3605	0
ZSCAN20	0
CSMD2	0
HMGB4	0
RP5-1007G16.1	0
C1orf94	0
MIR552	0
GJB5	0
GJB4	0
GJB3	0
GJA4	0
SMIM12	0
DLGAP3	0
LOC653160	0
ZMYM6NB	0
ZMYM6	0
ZMYM1	0
SFPQ	3
ZMYM4	43
KIAA0319L	0
NCDN	0
TFAP2E	0
PSMB2	0
C1orf216	0
CLSPN	0
AGO4	0
AGO1	0
AGO3	0
TEKT2	0
ADPRHL2	0
COL8A2	0
TRAPPC3	0
MAP7D1	2
THRAP3	4
SH3D21	0
EVA1B	0
STK40	0
LSM10	0
OSCP1	0
MRPS15	0
CSF3R	0
GRIK3	0
MIR4255	0
LINC01137	0
ZC3H12A	0
MIR6732	0
MEAF6	0
MIR5581	0
SNIP1	2
DNALI1	0
GNL2	0
RSPO1	0
C1orf109	0
CDCA8	0
EPHA10	0
MANEAL	0
YRDC	0
C1orf122	0
MTF1	0
INPP5B	0
SF3A3	0
FHL3	77
UTP11L	0
POU3F1	0
MIR3659	0
RP11-214L19.1	0
RRAGC	0
GJA9-MYCBP	0
MYCBP	0
GJA9	0
RHBDL2	0
AKIRIN1	0
NDUFS5	1
MACF1	39
KIAA0754	0
BMP8A	0
PPIEL	0
PABPC4	25
SNORA55	0
HEYL	0
NT5C1A	0
HPCAL4	0
PPIE	0
BMP8B	0
OXCT2	0
LOC101929536	0
TRIT1	0
MYCL	0
MFSD2A	0
CAP1	51
PPT1	0
RLF	4
TMCO2	0
ZMPSTE24	0
COL9A2	2
SMAP2	1
ZFP69B	0
ZFP69	0
EXO5	0
ZNF684	0
RIMS3	0
NFYC-AS1	0
NFYC	0
MIR30E	0
MIR30C1	0
KCNQ4	0
CITED4	0
CTPS1	0
SLFNL1-AS1	0
SLFNL1	0
SCMH1	0
LOC102723924	0
FOXO6	0
LOC101929901	0
EDN2	0
HIVEP3	0
GUCA2B	0
GUCA2A	0
FOXJ3	0
RIMKLA	0
ZMYND12	0
PPCS	0
CCDC30	0
PPIH	2
YBX1	0
CLDN19	0
LEPRE1	0
C1orf50	0
LOC100129924	0
CCDC23	0
ERMAP	0
ZNF691	0
LOC339539	0
SLC2A1	0
SLC2A1-AS1	0
FAM183A	0
EBNA1BP2	0
MIR6733	0
WDR65	0
TMEM125	0
C1orf210	0
TIE1	0
MPL	0
CDC20	0
ELOVL1	0
MIR6734	0
MED8	0
SZT2	0
MIR6735	0
HYI	0
PTPRF	0
KDM4A	0
KDM4A-AS1	0
ST3GAL3	0
RP11-184I16.4	0
MIR6079	0
ARTN	0
LOC101929609	0
IPO13	0
DPH2	0
ATP6V0B	44
B4GALT2	0
CCDC24	0
SLC6A9	0
KLF17	0
DMAP1	0
ERI3	0
ERI3-IT1	0
RNF220	0
MIR5584	0
LOC102723990	0
TMEM53	0
C1orf228	8
RNU5F-1	0
RNU5D-1	0
KIF2C	0
RPS8	0
SNORD55	0
SNORD46	0
SNORD38A	0
SNORD38B	0
BEST4	0
PLK3	0
TCTEX1D4	0
BTBD19	0
PTCH2	0
EIF2B3	0
HECTD3	0
UROD	0
ZSWIM5	0
LINC01144	0
HPDL	0
MUTYH	0
TOE1	0
TESK2	0
CCDC163P	0
MMACHC	0
PRDX1	0
AKR1A1	0
NASP	0
CCDC17	0
GPBP1L1	1
RPS15AP10	0
TMEM69	0
IPP	0
MAST2	0
PIK3R3	0
RP4-533D7.5	0
TSPAN1	1
LOC102724021	0
POMGNT1	0
LURAP1	0
RAD54L	0
LOC102724045	0
LOC102724033	0
LRRC41	0
UQCRH	0
NSUN4	0
FAAH	0
LOC729041	0
RP5-1109J22.2	0
DMBX1	0
MKNK1-AS1	2
KNCN	0
MKNK1	26
LOC101929673	0
MOB3C	0
ATPAF1	0
TEX38	0
EFCAB14-AS1	0
EFCAB14	49
CYP4B1	0
CYP4Z2P	0
CYP4A11	0
CYP4X1	0
CYP4Z1	0
CYP4A22	0
LINC00853	0
PDZK1IP1	0
TAL1	0
STIL	0
CMPK1	8
LOC102724077	0
FOXE3	0
FOXD2-AS1	0
FOXD2	0
TRABD2B	0
SKINTL	0
SLC5A9	0
SPATA6	0
LOC102724088	0
AGBL4	0
BEND5	0
AGBL4-IT1	0
ELAVL4	0
DMRTA2	0
FAF1	0
CDKN2C	0
C1orf185	0
MIR4421	0
MIR6500	0
RNF11	0
TTC39A	0
LOC102724097	0
EPS15	0
OSBPL9	0
NRD1	0
MIR761	0
RAB3B	0
TXNDC12	1
KTI12	0
BTF3L4	0
ZFYVE9	0
CC2D1B	0
ORC1	0
PRPF38A	0
ZCCHC11	0
GPX7	0
FAM159A	0
COA7	0
ZYG11B	0
ZYG11A	0
ECHDC2	25
SCP2	0
MIR1273F	0
MIR5095	0
MIR1273G	0
PODN	0
SLC1A7	0
LOC102724114	0
CPT2	0
C1orf123	0
MAGOH	0
RP5-1024G6.5	0
LRP8	0
LOC102724125	0
SLC25A3P1	0
DMRTB1	0
GLIS1	0
NDC1	0
YIPF1	0
DIO1	0
HSPB11	0
LRRC42	0
LDLRAD1	0
TMEM59	14
TCEANC2	0
MIR4781	0
CDCP2	0
CYB5RL	0
MRPL37	0
SSBP3	0
SSBP3-AS1	0
ACOT11	0
FAM151A	0
MROH7	0
MROH7-TTC4	0
TTC4	0
PARS2	0
TTC22	0
C1orf177	0
DHCR24	0
TRNAK-CUU	0
TMEM61	0
BSND	0
PCSK9	0
USP24	31
LOC100507634	0
MIR4422	0
LOC102724140	0
PPAP2B	0
PRKAA2	0
LOC102724154	0
C1orf168	0
LOC101929757	0
C8A	0
C8B	0
DAB1	0
DAB1-AS1	16
OMA1	0
TACSTD2	0
MYSM1	0
JUN	0
LINC01135	0
LOC101926907	0
RP4-794H19.4	0
HSD52	0
FGGY	0
MIR4711	0
RP4-782L23.1	0
HOOK1	0
CYP2J2	0
C1orf87	0
RP11-436K8.1	0
LOC100996570	0
NFIA	0
LOC102724281	0
RP5-833A20.1	0
MGC34796	0
TM2D1	0
INADL	13
MIR3116-1	0
MIR3116-2	0
L1TD1	0
KANK4	0
USP1	0
DOCK7	0
ANGPTL3	0
RP11-230B22.1	0
ATG4C	0
LINC00466	0
LOC100996301	0
FOXD3	0
MIR6068	0
ALG6	0
ITGB3BP	0
LOC102724319	0
EFCAB7	0
DLEU2L	0
PGM1	0
ROR1	0
RP11-24J23.2	0
UBE2U	0
CACHD1	0
LOC101927065	0
MIR4794	0
RAVER2	0
JAK1	71
RP11-182I10.3	0
MIR3671	0
MIR101-1	0
AK4	0
DNAJC6	0
LOC102724416	0
LEPROT	0
LEPR	0
PDE4B	14
RP11-397C12.1	0
SGIP1	0
MIR3117	0
TCTEX1D1	0
INSL5	0
WDR78	0
MIER1	0
SLC35D1	0
C1orf141	0
IL23R	0
IL12RB2	0
SERBP1	0
LOC102724481	0
GADD45A	0
GNG12	0
GNG12-AS1	0
DIRAS3	0
WLS	0
LOC101929986	0
MIR1262	0
RPE65	0
DEPDC1	0
RP4-694A7.4	0
LRRC7	0
PIN1P1	0
LRRC40	0
SRSF11	50
ANKRD13C	8
HHLA3	0
LOC102724548	0
CTH	0
RP5-952N6.1	0
LOC102724572	0
PTGER3	0
ZRANB2-AS1	0
ZRANB2	4
MIR186	0
ZRANB2-AS2	0
NEGR1	0
NEGR1-IT1	0
RP11-262K1.1	0
RP4-598G3.1	0
LRRIQ3	0
FPGT-TNNI3K	0
FPGT	0
TNNI3K	0
C1orf173	0
LOC101927320	0
CRYZ	0
TYW3	0
LHX8	0
SLC44A5	0
ACADM	0
RABGGTB	12
SNORD45C	0
SNORD45A	0
SNORD45B	0
MSH4	0
ASB17	0
RP11-550H2.1	0
ST6GALNAC3	0
ST6GALNAC5	0
MIR7156	0
PIGK	0
AK5	0
ZZZ3	0
USP33	28
FAM73A	0
NEXN-AS1	0
NEXN	0
FUBP1	0
DNAJB4	0
GIPC2	0
MGC27382	0
PTGFR	0
IFI44L	0
IFI44	0
ELTD1	0
RP5-887A10.1	0
LOC101927458	0
LPHN2	0
RP11-170N11.1	0
LOC101927542	0
RP11-475O6.1	0
RP11-475O6.1-2	0
TTLL7	0
PRKACB	0
LOC101927611	0
LOC101927633	0
SAMD13	0
UOX	0
DNASE2B	0
LOC101927656	0
RPF1	0
GNG5	0
SPATA1	0
CTBS	0
LOC101927773	0
C1orf180	0
SSX2IP	0
LOC102724892	0
LPAR3	0
MCOLN2	0
MCOLN3	0
WDR63	0
MIR4423	0
SYDE2	0
C1orf52	0
BCL10	0
LOC646626	0
DDAH1	0
LOC101930232	0
CYR61	0
ZNHIT6	0
COL24A1	1
ODF2L	0
MIR7856	0
CLCA2	0
CLCA1	0
CLCA4	0
CLCA3P	0
SH3GLB1	0
SEP15	0
HS2ST1	0
LINC01140	0
LOC101927844	0
LMO4	0
RP4-544H6.2	0
LOC101927871	0
RP11-76N22.2	0
PKN2	0
GTF2B	0
CCBL2	0
RBMXL1	0
GBP3	0
GBP1	0
GBP2	0
GBP7	0
GBP4	0
GBP5	0
LOC729930	0
GBP6	0
GBP1P1	0
LRRC8B	0
FLJ27354	0
LRRC8C	0
LOC102723361	0
LOC101927952	0
LOC101927933	0
LOC101927975	0
LRRC8D	0
GEMIN8P4	0
ZNF326	0
BARHL2	0
LOC149351	0
ZNF644	0
LOC102723410	0
HFM1	0
CDC7	0
LOC102723436	0
TGFBR3	0
BRDT	0
EPHX4	0
SETSIP	0
BTBD8	0
KIAA1107	19
C1orf146	0
GLMN	0
RPAP2	0
GFI1	0
EVI5	0
RPL5	0
FAM69A	0
SNORD21	0
SNORA66	0
MTF2	1
TMED5	0
CCDC18	0
LOC100131564	0
DR1	0
FNBP1L	0
TRNAC-GCA	0
BCAR3	0
RP5-1033H22.2	0
LOC102723480	0
MIR760	0
TRNAR15	0
DNTTIP2	0
GCLM	0
ABCA4	0
ARHGAP29	0
LOC100505940	0
ABCD3	0
F3	0
LOC102723542	0
LINC01057	0
MIR378G	0
SLC44A3	0
CNN3	0
RP4-639F20.1	0
ALG14	0
LOC101928098	0
TMEM56	0
TMEM56-RWDD3	0
RP11-57H12.3	0
RWDD3	0
LOC100996630	0
LOC101928169	0
FLJ31662	0
RP11-286B14.1	0
LOC101928219	0
LOC102723661	0
RP5-898J17.1	0
PTBP2	0
DPYD	0
DPYD-AS1	0
DPYD-AS2	0
LOC102723700	0
MIR137HG	0
MIR2682	0
MIR137	0
RP5-1070A16.1	0
SNX7	0
LPPR5	0
RP5-896L10.1	0
LPPR4	0
RP11-413P11.1	0
PALMD	0
FRRS1	20
AGL	0
LOC101930120	0
SLC35A3	0
HIAT1	10
SASS6	0
TRMT13	0
LRRC39	0
DBT	0
RP11-305E17.6	0
RTCA	0
MIR553	0
CDC14A	0
GPR88	0
RP11-84O12.4	0
VCAM1	0
EXTL2	0
SLC30A7	0
DPH5	0
LOC102606465	0
LOC101928334	0
LOC101928370	0
S1PR1	0
LOC102723784	0
OLFM3	0
DNAJA1P5	0
COL11A1	0
LOC101928436	0
RNPC3	0
AMY2B	0
ACTG1P4	1
AMY2A	0
AMY1A	0
AMY1B	0
AMY1C	0
LOC100129138	0
RP11-251P6.1	0
PRMT6	0
NTNG1	0
LOC102724829	0
VAV3	0
MIR7852	0
VAV3-AS1	0
SLC25A24	0
NBPF4	0
LOC400768	0
NBPF6	0
FAM102B	0
HENMT1	0
PRPF38B	0
FNDC7	0
STXBP3	4
AKNAD1	0
SPATA42	0
GPSM2	0
CLCC1	0
WDR47	0
TAF13	0
TMEM167B	0
SCARNA2	0
C1orf194	0
KIAA1324	0
SARS	0
CELSR2	0
PSRC1	0
MYBPHL	0
SORT1	0
PSMA5	10
SYPL2	0
ATXN7L2	0
CYB561D1	0
AMIGO1	0
GPR61	0
LOC101928560	4
GNAI3	52
MIR197	0
GNAT2	0
AMPD2	34
GSTM4	24
GSTM2	12
GSTM1	0
GSTM5	0
GSTM3	0
EPS8L3	0
CSF1	0
AHCYL1	0
STRIP1	0
ALX3	0
UBL4B	0
SLC6A17	0
KCNC4-AS1	0
KCNC4	0
RP5-1074L1.1	0
RBM15	0
SLC16A4	0
LAMTOR5	3
LAMTOR5-AS1	0
PROK1	0
CYMP	0
LOC440602	0
KCNA10	0
KCNA2	0
KCNA3	0
CD53	0
LRIF1	0
DRAM2	11
CEPT1	2
DENND2D	0
CHI3L2	0
CHIAP2	0
CHIA	0
PIFO	0
PGCP1	0
OVGP1	0
WDR77	0
ATP5F1	0
C1orf162	28
ADORA3	77
LINC01160	0
RAP1A	0
FAM212B	0
FAM212B-AS1	0
LOC101928718	0
DDX20	0
KCND3	0
KCND3-IT1	0
LOC643355	0
LOC101928754	0
CTTNBP2NL	0
MIR4256	0
WNT2B	0
ST7L	0
CAPZA1	32
MOV10	0
RHOC	0
PPM1J	0
FAM19A3	0
LOC128322	0
RP11-426L16.8	0
SLC16A1	0
AKR7A2P1	0
SLC16A1-AS1	0
LOC101930375	0
RP11-31F15.2	0
LRIG2	0
LOC102723919	0
LOC643441	0
MAGI3	0
PHTF1	27
RSBN1	21
PTPN22	0
RP5-1073O3.2	0
AP4B1-AS1	0
BCL2L15	0
AP4B1	0
DCLRE1B	0
RP5-1073O3.7	0
HIPK1	2
OLFML3	0
SYT6	0
TRIM33	0
LOC101928890	0
BCAS2	11
DENND2C	0
AMPD1	0
NRAS	0
CSDE1	45
SIKE1	0
SYCP1	0
TSHB	0
TSPAN2	0
NGF	0
VANGL1	0
CASQ2	0
NHLH2	0
LOC101928977	0
SLC22A15	0
MAB21L3	0
ATP1A1	0
ATP1A1OS	0
RP4-655J12.4	0
CD58	0
MIR548AC	0
IGSF3	0
MIR320B1	0
C1orf137	0
CD2	0
PTGFRN	0
CD101	10
RP11-27K13.3	2
TTF2	0
MIR942	0
TRIM45	0
VTCN1	0
MAN1A2	0
FAM46C	81
GDAP2	9
WDR3	0
SPAG17	0
TBX15	0
WARS2	0
RP11-418J17.1	0
HAO2	0
HAO2-IT1	0
HSD3B2	0
HSD3B1	0
HSD3BP4	0
LINC00622	0
ZNF697	0
PHGDH	0
HMGCS2	1
REG4	0
NBPF7	0
ADAM30	0
NOTCH2	12
LOC101929178	0
SEC22B	0
LOC100996723	0
LOC101929786	0
LOC101929788	0
NBPF8	0
PFN1P2	0
LOC102724372	0
LOC100996724	0
LOC101929792	0
LOC101929796	0
LOC102724282	0
NBPF26	0
TRNAN5	0
RNVU1-19	0
PPIAL4B	0
LINC00623	0
RNVU1-4	0
TRNAN22	0
LINC00623-2	0
LOC100996721	0
TRNAG-CCC-2	0
TRNAV-CAC	0
LOC101929798	0
TRNAN-GUU-2	0
FCGR1B	0
LOC100996318	0
HIST2H2BA	0
FAM72B	0
LOC102724451	0
SRGAP2C	0
SRGAP2-AS1	0
EMBP1	0
LOC101929814	0
LOC100996735	0
LOC101929815	0
LOC101927452	0
NBPF23P	0
TRNAQ20	0
RNVU1-17	0
RNVU1-18	0
LOC101929561	0
TRNAN3	0
LOC388692	0
TRNAV16	0
TRNAV25	0
RP11-353N4.5	0
TRNAN29	0
FCGR1C	0
LOC100996713	0
FAM72C	0
SRGAP2D	0
LOC102724504	0
LOC101929803	0
LOC100996732	0
LOC101927333	0
PPIAL4E	0
RNVU1-15	0
TRNAN27	0
NBPF15	0
TRNAN15	0
PPIAL4F	0
LOC101929826	0
LOC101927429	0
RP11-14N7.2	0
SRGAP2B	0
LOC102724255	0
FAM72D	0
TRNAN-GUU-3	0
LOC101929805	0
TRNAV-CAC-2	0
TRNAV-CAC-3	0
LOC102724235	0
LOC100996741	0
LOC100996740	0
PPIAL4D	0
RNVU1-14	0
TRNAN1	0
NBPF20	0
TRNAQ-CUG	0
TRNAN-GUU-4	0
LOC102724173	0
LOC101060254	0
NBPF25P	0
GPR89A	0
PDZK1	0
CD160	0
RNF115	0
POLR3C	0
NUDT17	45
PIAS3	7
MIR6736	0
ANKRD35	0
ITGA10	0
PEX11B	0
GNRHR2	0
RBM8A	8
LIX1L	0
POLR3GL	0
ANKRD34A	0
TXNIP	422
HFE2	0
TRNAE21	0
TRNAG11	0
TRNAH4	0
TRNAK20	0
RNVU1-6	0
RP11-458D21.1	0
NBPF10	1
NOTCH2NL	3
NUDT4P2	0
LOC102724364	0
TRNAN-GUU-5	0
LOC100996756	0
LOC102724558	0
LOC102724573	0
HYDIN2	0
NBPF12	0
LOC101929781	0
LOC728989	0
TRNAH10	0
NBPF13P	0
PRKAB2	0
CHD1L	0
PDIA3P1	0
FMO5	0
LINC00624	0
BCL9	0
ACP6	0
LOC102723321	0
GJA5	18
GJA8	0
GPR89B	0
TRNAQ13	0
RNVU1-7	0
TRNAN19	0
NBPF11	0
LOC100505824	0
LOC101929257	0
RP4-565E6.1	0
TRNAQ8	0
LOC284561	0
