Geneid	Br11_19
PAWR	0
PPP1R12A	2
LOC101928367	0
OTOGL	10
PTPRQ	0
MYF6	0
MYF5	0
RP11-540D4.3	0
LIN7A	0
MIR617	0
MIR618	0
ACSS3	0
MIR4699	0
PPFIA2	0
LOC102724663	0
RP11-362A1.1	0
CCDC59	7
METTL25	0
TMTC2	0
SLC6A15	0
LOC102724680	0
TSPAN19	0
LRRIQ1	0
ALX1	0
RASSF9	0
LOC102724721	0
NTS	0
MGAT4C	0
LOC102724735	0
MKRN9P	0
C12orf50	0
C12orf29	0
CEP290	0
TMTC3	40
KITLG	0
RP11-13A1.1	0
DUSP6	1002
POC1B	0
POC1B-GALNT4	2
GALNT4	2
LOC102724782	0
LOC102724811	64
ATP2B1	440
LINC00936	450
LOC102724834	0
LINC00615	0
CCER1	0
EPYC	0
KERA	0
LUM	0
DCN	0
LOC101928584	0
C12orf79	4
BTG1	744
LOC101928617	11
CLLU1OS	0
CLLU1	0
LOC100507616	0
C12orf74	0
PLEKHG7	0
EEA1	0
RP11-486A14.2	0
LOC102724901	0
LOC102724933	0
NUDT4	9
LOC102724944	0
UBE2N	2
MRPL42	0
SOCS2-AS1	0
SOCS2	0
CRADD	0
RP11-887P2.5	0
PLXNC1	166
CCDC41	0
CCDC41-AS1	0
LOC102724960	0
MIR5700	0
TMCC3	0
MIR7844	0
MIR492	0
KRT19P2	0
NDUFA12	83
NR2C1	48
FGD6	0
VEZT	60
MIR331	0
MIR3685	0
LOC101928779	0
METAP2	30
USP44	0
PGAM1P5	0
NTN4	0
SNRPF	72
CCDC38	0
AMDHD1	0
HAL	6
LOC102723340	0
LTA4H	603
LOC101928830	0
TRNAD12	0
ELK3	111
CDK17	0
C12orf55	0
NEDD1	0
LOC101928912	0
RMST	0
MIR1251	0
MIR135A2	0
LOC643711	0
RNU6-36P	0
MIR4495	0
MIR4303	0
SLC9A7P1	0
LOC643770	0
TRNAD10	0
TRNAW5	0
TMPO-AS1	19
TMPO	177
SLC25A3	490
SNORA53	0
IKBIP	13
APAF1	22
ANKS1B	0
RP11-406H4.1	0
FAM71C	0
UHRF1BP1L	30
GOLGA2P5	0
MIR1827	0
ACTR6	70
DEPDC4	0
SCYL2	61
SLC17A8	0
NR1H4	0
GAS2L3	1
ANO4	0
SLC5A8	0
UTP20	0
ARL1	13
SPIC	0
MYBPC1	0
CHPT1	92
SYCP3	6
LOC101928981	0
GNPTAB	5
LOC101929005	0
DRAM1	188
CCDC53	54
NUP37	0
PARPBP	0
PMCH	0
IGF1	0
LINC00485	0
PAH	0
LOC101929036	0
ASCL1	0
LOC101929058	0
C12orf42	0
RP11-626I20.3	0
STAB2	0
LOC101930305	0
NT5DC3	39
LOC102723501	0
GNN	0
HSP90B1	228
MIR3652	20
C12orf73	0
TDG	38
GLT8D2	0
HCFC2	0
NFYB	0
TXNRD1	57
EID3	0
CHST11	4
MIR3922	0
SLC41A2	0
C12orf45	1
ALDH1L2	16
KIAA1033	205
APPL2	0
C12orf75	19
CASC18	10
NUAK1	0
CKAP4	417
LOC101929132	0
TCP11L2	66
POLR3B	0
LOC100287944	2
RFX4	0
RP11-482D24.2	0
RIC8B	31
LOC102723527	0
C12orf23	0
MTERFD3	0
CRY1	0
BTBD11	0
PWP1	0
PRDM4	6
RP11-864J10.4	0
ASCL4	0
LOC101929187	0
LOC728739	1
WSCD2	0
CMKLR1	0
LOC102723562	0
FICD	0
SART3	0
ISCU	29
TMEM119	0
SELPLG	648
MIR4496	0
CORO1C	197
SSH1	4
LOC101929204	0
MIR619	0
DAO	0
SVOP	0
USP30	0
USP30-AS1	0
ALKBH2	0
UNG	0
ACACB	15
FOXN4	0
RP11-256L11.1	0
MYO1H	0
KCTD10	0
UBE3B	29
MMAB	0
MVK	0
FAM222A	0
FAM222A-AS1	0
TRPV4	0
MIR4497	0
GLTP	145
TCHP	0
GIT2	158
ANKRD13A	14
C12orf76	0
IFT81	24
ATP2A2	26
ANAPC7	2
ARPC3	513
GPN3	105
FAM216A	19
VPS29	155
RAD9B	10
PPTC7	73
TCTN1	38
HVCN1	0
PPP1CC	85
CCDC63	0
MYL2	0
LOC100131138	0
CUX2	0
MIR6760	0
FAM109A	0
SH2B3	0
ATXN2	19
LOC102723619	0
BRAP	2
ACAD10	1
ALDH2	71
MIR6761	1
MAPKAPK5-AS1	53
MAPKAPK5	0
ADAM1A	0
TMEM116	0
ERP29	14
NAA25	2
MIR3657	0
TRAFD1	89
HECTD4	0
MIR6861	0
RPL6	95
PTPN11	13
MIR1302-1	0
RPH3A	0
OAS1	136
OAS3	0
OAS2	234
LOC100506734	0
DTX1	0
RASAL1	0
CCDC42B	0
DDX54	44
MIR7106	0
RITA1	0
IQCD	0
TPCN1	68
MIR6762	0
SLC8B1	12
PLBD2	191
SDS	0
SDSL	0
LHX5	0
RP11-438N16.1	0
RBM19	59
TBX5	0
TBX5-AS1	0
TBX3	0
LOC102723639	0
LOC101928199	0
LOC101928225	0
MED13L	74
MIR620	0
MIR4472-2	0
LINC00173	3
MAP1LC3B2	52
C12orf49	60
RNFT2	0
HRK	0
FBXW8	1
RP11-231I16.1	0
TESC	87
LOC101928244	0
FBXO21	0
NOS1	0
KSR2	0
RFC5	0
WSB2	107
VSIG10	0
LOC101928274	0
PEBP1	32
TAOK3	130
SUDS3	9
SRRM4	0
LOC102723712	0
HSPB8	0
LINC00934	0
CCDC60	0
TMEM233	0
PRKAB1	50
CIT	0
MIR1178	0
LOC102723723	0
CCDC64	0
RAB35	12
LOC101928498	0
GCN1L1	0
MIR4498	0
RPLP0	583
PXN-AS1	12
PXN	88
RNU4-2	0
SIRT4	0
RNU4-1	0
PLA2G1B	0
MSI1	0
COX6A1	39
TRIAP1	0
GATC	8
SRSF9	35
DYNLL1	3
DYNLL1-AS1	0
COQ5	0
RNF10	223
POP5	1
LOC101928300	0
CABP1	0
MLEC	67
UNC119B	0
MIR4700	0
ACADS	34
SPPL3	33
HNF1A-AS1	0
HNF1A	0
C12orf43	0
OASL	220
P2RX7	14
P2RX4	209
CAMKK2	169
ANAPC5	33
RNF34	0
KDM2B	0
MIR7107	0
LOC101928346	0
ORAI1	45
MORN3	0
TMEM120B	44
RHOF	51
LINC01089	0
SETD1B	19
HPD	28
PSMD9	42
WDR66	0
BCL7A	0
LOC100506691	33
MLXIP	153
LRRC43	0
IL31	0
B3GNT4	0
DIABLO	34
LOC101593348	0
VPS33A	16
CLIP1	98
RP11-450K4.1	0
ZCCHC8	0
RSRC2	20
KNTC1	0
HCAR2	14
HCAR3	34
HCAR1	0
DENR	30
CCDC62	0
HIP1R	0
VPS37B	14
ABCB9	0
OGFOD2	0
ARL6IP4	50
PITPNM2	0
MIR4304	0
RP11-197N18.7	0
MPHOSPH9	0
C12orf65	0
CDK2AP1	30
SBNO1	59
LOC100293704	0
MIR8072	1
SETD8	0
RILPL2	181
SNRNP35	0
LOC102723867	0
RILPL1	0
MIR3908	0
RP11-486O12.2	11
TMED2	57
DDX55	18
EIF2B1	43
GTF2H3	49
TCTN2	0
ATP6V0A2	0
DNAH10	0
CCDC92	3
LOC102723902	0
ZNF664	0
ZNF664-FAM101A	0
FAM101A	0
NCOR2	61
MIR6880	0
LOC101927436	0
SCARB1	0
UBC	764
MIR5188	0
TRNAA23	0
TRNAD15	0
TRNAF2	0
TRNAD16	0
TRNAA32	0
DHX37	0
BRI3BP	0
AACS	0
TMEM132B	0
LINC00939	2
RP3-446N13.1	0
LOC101927491	0
LOC101927531	0
RP5-944M2.3	0
RP11-407A16.3	0
LINC00944	0
LINC00943	0
RP11-983C2.2	0
RP11-575F12.1	0
RP11-955H22.3	0
RP11-526P6.1	0
FLJ37505	0
LINC00507	0
RP13-653N12.1	0
RP13-653N12.2	0
MIR4419B	0
TMEM132C	0
MIR3612	0
SLC15A4	0
LOC100128276	0
GLT1D1	52
TMEM132D	1
RP11-669N7.2	0
RP11-669N7.3	0
LOC101927710	0
RP11-474D1.3	0
FZD10-AS1	0
FZD10	0
LOC101927786	0
PIWIL1	0
RIMBP2	0
LOC102724010	0
LOC102724399	0
STX2	0
RAN	222
GPR133	2
RP11-638F5.1	0
LOC100128002	0
RP13-507P19.2	0
LOC102724412	0
LOC101929974	0
LOC102724051	0
LOC100996701	0
SFSWAP	5
MMP17	0
ULK1	10
LOC102724075	0
PUS1	0
EP400	28
SNORA49	0
EP400NL	7
DDX51	0
NOC4L	0
LOC100996246	0
GALNT9	0
GALNT9-2	0
LOC100130238	0
RP13-895J2.7	0
LOC101928629	0
MUC8	0
FBRSL1	5
LOC100996573	0
MIR6763	0
LRCOL1	0
P2RX2	0
POLE	0
PXMP2	0
PGAM5	0
ANKLE2	95
LOC101928485	0
GOLGA3	4
CHFR	131
LOC101928530	0
ZNF605	0
ZNF26	0
RP11-386I8.6	0
ZNF84	0
ZNF140	0
ZNF891	0
ZNF10	0
ZNF268	0
ANHX	0
XRCC6BP1-2	0
RP11-620J15.3-2	0
LOC101927531-2	0
SLC5A8-2	0
ANO4-2	0
LOC100288778-2	0
FAM138D-2	0
IQSEC3-2	0
RP11-598F7.4-2	0
TAS2R7-2	0
TAS2R8-2	0
TAS2R9-2	0
TAS2R10-2	0
PRH1-PRR4-2	0
PRR4-2	0
PRH1-2	0
TAS2R13-2	0
PRH2-2	0
TAS2R14-2	0
TAS2R50-2	0
TAS2R20-2	0
TAS2R19-2	0
TAS2R31-2	0
TAS2R46-2	0
TAS2R43-2	0
TAS2R45	0
TAS2R30-2	0
LOC100129361-2	0
LOC101927786-2	0
PIWIL1-2	0
DNAH10-2	0
CCDC92-2	0
OVOS2-2	0
FAM60A-2	0
FLJ13224-2	0
PRB1-2	0
TAS2R7-3	0
TAS2R8-3	0
TAS2R9-3	0
TAS2R10-3	0
PRR4-3	0
PRH1-PRR4-3	0
PRH1-3	0
TAS2R13-3	0
PRH2-3	0
TAS2R14-3	0
TAS2R50-3	0
TAS2R20-3	0
TAS2R19-3	0
TAS2R31-3	0
TAS2R46-3	0
LOC101929789	0
TAS2R43-3	0
TAS2R30-3	0
LOC100129361-3	0
TAS2R42-2	0
PRB3-2	0
PRB4-2	0
PRB1-3	0
FAM230C	0
LOC101060157	0
LOC102724148	0
LINC00417	0
ANKRD20A9P	2
RNU6-55P	0
RNU6-76P	0
LINC00408	0
LINC00442	0
RNU6-52P	0
TUBA3C	0
LOC101928697	0
ANKRD26P3	0
LINC00421	0
TPTE2	0
MPHOSPH8	7
PSPC1	2
ZMYM5	0
LOC102724812	0
ZMYM2	59
GJA3	0
GJB2	0
GJB6	0
CRYL1	45
MIR4499	0
IFT88	0
IL17D	0
N6AMT2	0
XPO4	0
LINC00367	0
LATS2	15
SAP18	10
SKA3	0
MRP63	10
LOC101928764	0
MIPEPP3	6
LINC00539	0
LOC102724879	0
ZDHHC20	171
MICU2	0
RNU6-59P	0
FGF9	0
LINC00424	0
LINC00540	0
BASP1P1	0
SGCG	0
RNU6-58P	0
SACS	0
SACS-AS1	0
LINC00327	0
LOC101928839	0
TNFRSF19	0
MIPEP	0
C1QTNF9B-AS1	0
C1QTNF9B	0
ANKRD20A19P	0
SPATA13	17
MIR2276	0
SPATA13-AS1	0
C1QTNF9	0
PARP4	52
LOC101927375	0
TPTE2P6	0
ATP12A	0
LOC101928867	0
RNF17	0
CENPJ	0
LOC101928898	0
TPTE2P1	0
PABPC3	20
AMER2	0
LOC101928922	0
LOC102723318	0
MTMR6	15
NUPL1	0
ATP8A2	0
RNU6-78P	0
SHISA2	0
RNF6	0
LOC102724232	0
CDK8	39
WASF3	0
GPR12	0
USP12	34
USP12-AS2	0
LOC102723332	0
RPL21	7
SNORD102	8
SNORA27	0
RASL11A	51
GTF3A	57
MTIF3	79
RNU6-63P	0
LNX2	0
POLR1D	56
GSX1	0
PDX1-AS1	0
PDX1	0
ATP5EP2	33
CDX2	0
URAD	0
FLT3	0
PAN3-AS1	0
PAN3	104
RNU6-82P	1
FLT1	3
POMP	156
SLC46A3	51
RNU6-53P	0
MTUS2	0
MTUS2-AS1	0
SLC7A1	0
LOC102724249	0
LOC102723345	0
UBL3	22
LINC00297	0
LINC00572	0
LINC00544	0
LINC00384	0
KATNAL1	0
LOC102723381	0
RNU6-64P	0
LINC00426	0
LOC102723372	0
HMGB1	18
USPL1	0
TRNAN7	0
ALOX5AP	116
LINC00398	0
LINC00545	0
TEX26-AS1	0
MEDAG	0
TEX26	0
LOC102723392	0
HSPH1	0
B3GALTL	0
RXFP2	11
EEF1DP3	0
FRY-AS1	0
FRY	13
ZAR1L	0
BRCA2	0
N4BP2L1	15
N4BP2L2	147
MINOS1P1	0
N4BP2L2-IT2	0
PDS5B	64
LINC00423	0
LOC101927403	0
KL	0
STARD13	0
STARD13-AS	0
LOC102723425	0
LOC102723406	0
RFC3	0
LINC00457	0
NBEA	0
MAB21L1	0
LINC00445	0
DCLK1	0
SOHLH2	0
CCDC169-SOHLH2	9
LOC102723477	0
CCDC169	9
RNU6-71P	0
SPG20	8
SPG20OS	0
CCNA1	0
SERTM1	0
LOC102723490	0
RFXAP	3
SMAD9	0
ALG5	3
EXOSC8	30
SUPT20H	0
CSNK1A1L	1
LINC00547	0
POSTN	0
TRPC4	0
LOC101929077	0
LINC00571	0
UFM1	105
LOC101929121	0
LINC00366	0
FREM2	8
RNU6-56P	0
STOML3	0
PROSER1	40
NHLRC3	0
LHFP	0
COG6	8
MIR4305	0
LINC00332	0
LINC00548	0
LINC00598	0
FOXO1	40
MIR320D1	0
MRPS31	0
SLC25A15	0
TPTE2P5	0
MIR621	0
SUGT1P3	0
ELF1	86
TRNAE20	0
WBP4	0
MIR3168	0
KBTBD6	0
LOC101929140	0
KBTBD7	0
MTRF1	0
NAA16	0
RNU6-57P	0
OR7E37P	0
RGCC	49
VWA8	6
MIR5006	0
VWA8-AS1	0
DGKH	14
AKAP11	0
TNFSF11	0
FAM216B	0
EPSTI1	44
DNAJC15	131
ENOX1	0
CCDC122	0
LACC1	0
LINC00284	0
SMIM2-AS1	0
SMIM2	0
SMIM2-IT1	0
MIR8079	0
SERP2	0
LOC102723579	0
LINC01071	0
TSC22D1	53
TSC22D1-AS1	10
LINC00330	0
TRNAE7	0
NUFIP1	0
GPALPP1	0
LOC101929259	0
GTF2F2	64
RNU6-69P	0
KCTD4	0
TPT1	1181
SNORA31	0
TPT1-AS1	7
SLC25A30	0
COG3	7
FAM194B	0
SPERT	0
SIAH3	0
ZC3H13	9
CPB2-AS1	0
CPB2	0
LCP1	2755
LRRC63	0
LINC00563	0
KIAA0226L	98
RNU6-68P	0
RP11-189B4.6	0
LOC101929368	0
LRCH1	0
ESD	50
HTR2A	0
HTR2A-AS1	0
SUCLA2	17
LOC101929410	0
NUDT15	5
MED4	67
MED4-AS1	28
ITM2B	587
LINC00441	0
RB1	73
LOC101929434	0
LPAR6	0
RCBTB2	58
LINC00462	0
CYSLTR2	0
FNDC3A	2
MLNR	0
CDADC1	57
LOC102723669	0
CAB39L	3
SETDB2	0
PHF11	35
RCBTB1	42
ARL11	59
EBPL	35
KPNA3	9
CTAGE10P	0
SPRYD7	0
LOC102723679	27
DLEU2	0
MIR3613	0
TRIM13	0
KCNRG	0
MIR16-1	0
MIR15A	0
DLEU1	33
FLJ31945	0
ST13P4	0
DLEU7	0
LOC102723697	0
DLEU7-AS1	0
RNASEH2B-AS1	0
RNASEH2B	0
GUCY1B2	0
LINC00371	0
FAM124A	0
SERPINE3	0
MIR5693	0
INTS6	8
INTS6-AS1	0
MIR4703	0
WDFY2	266
DHRS12	14
LOC102723770	0
LOC101929522	2
LINC00282	0
CCDC70	0
ATP7B	0
ALG11	0
UTP14C	0
LOC100506859	0
NEK5	0
LOC101929657	0
NEK3	0
MRPS31P5	0
TPTE2P2	0
THSD1	0
VPS36	1
CKAP2	11
TPTE2P3	0
HNRNPA1L2	1
SUGT1	19
LECT1	0
MIR759	0
PCDH8	0
OLFM4	0
LOC102723875	0
LINC00558	0
LINC00458	0
MIR1297	0
MIR5007	0
PRR20A	0
PRR20B	0
PRR20C	0
PRR20D	0
PRR20E	0
PCDH17	0
LOC101926897	0
DIAPH3	0
LOC101926912	0
DIAPH3-AS1	0
DIAPH3-AS2	0
TDRD3	5
LINC00378	0
LOC102723910	0
MIR3169	0
PCDH20	0
LOC101926951	0
LINC00358	0
LINC00395	0
OR7E156P	0
LOC647264	0
RNU6-81P	0
LOC102723968	0
LOC101927016	0
MIR548X2	0
MIR4704	0
PCDH9	0
PCDH9-AS2	0
PCDH9-AS3	0
PCDH9-AS4	0
LOC101927072	0
LINC00550	0
KLHL1	0
ATXN8OS	0
LINC00348	0
DACH1	3
MZT1	44
BORA	0
DIS3	15
PIBF1	0
RNU6-79P	0
KLF5	0
RNU6-66P	0
KLF12	0
LOC101927103	0
LOC101927121	0
LINC00381	0
LINC00347	0
CTAGE11P	0
TBC1D4	0
COMMD6	30
UCHL3	0
RP11-173B14.5	0
LMO7	0
C13orf45	0
KCTD12	141
BTF3P11	0
IRG1	0
CLN5	0
FBXL3	7
MYCBP2	103
MYCBP2-AS1	0
SCEL	0
LOC100129307	0
SLAIN1	0
MIR3665	0
EDNRB-AS1	0
EDNRB	0
LINC01069	0
LINC00446	0
RNF219-AS1	0
POU4F1	0
RNF219	0
LINC00331	0
RBM26	3
RBM26-AS1	0
NDFIP2-AS1	0
NDFIP2	0
LOC102724065	0
LOC102724076	0
RP11-501G7.1	0
LINC01080	0
LOC101927216	0
LOC101927238	2
SPRY2	0
LOC102724139	0
RNU6-67P	0
SLITRK1	0
LINC00333	0
LINC00351	0
RNU6-72P	0
SLITRK6	0
MIR4500HG	0
MIR4500	0
SLITRK5	0
LINC00397	0
LINC00433	0
LINC00560	0
LINC00353	0
LINC00559	0
LOC102724086	0
MIR622	0
RP11-158A8.1	0
RNU6-75P	0
LINC00410	0
LINC00380	0
LINC00379	0
MIR17HG	1
MIR17	0
MIR18A	0
MIR19A	0
MIR20A	0
MIR19B1	0
MIR92A1	0
GPC5	0
MIR548AS	0
GPC5-AS1	0
GPC6	0
GPC6-AS2	0
GPC6-AS1	0
DCT	0
LOC102724113	0
TRNAF6	0
TGDS	0
GPR180	4
LOC101927248	0
SOX21	0
SOX21-AS1	0
LOC101927284	0
ABCC4	0
LOC102724149	0
CLDN10	0
CLDN10-AS1	0
DZIP1	0
LOC101927308	0
DNAJC3-AS1	0
DNAJC3	274
UGGT2	0
HS6ST3	0
MIR4501	0
LINC00359	0
OXGR1	0
LOC101927361	0
MBNL2	23
LOC101927385	0
RAP2A	0
IPO5	1
FARP1	0
RNF113B	0
MIR3170	0
STK24	33
SLC15A1	10
DOCK9	0
DOCK9-AS1	0
RNU6-83P	0
DOCK9-AS2	0
UBAC2-AS1	0
UBAC2	81
GPR18	0
GPR183	719
FKSG29	0
MIR623	0
TM9SF2	157
CLYBL	0
MIR4306	0
CLYBL-AS2	0
RP11-279D17.2	0
LOC101927437	0
ZIC5	0
ZIC2	0
LINC00554	0
PCCA	10
PCCA-AS1	0
LOC102724293	0
GGACT	49
TMTC4	0
NALCN-AS1	0
NALCN	0
ITGBL1	0
FGF14	0
MIR2681	0
MIR4705	0
FGF14-IT1	0
FGF14-AS1	0
FGF14-AS2	0
TPP2	42
METTL21C	0
LOC283482	0
CCDC168	0
TEX30	0
KDELC1	0
BIVM	0
BIVM-ERCC5	11
ERCC5	11
METTL21EP	0
SLC10A2	0
DAOA-AS1	0
DAOA	0
LINC00343	0
LINC00344	0
LINC00460	0
EFNB2	0
ARGLU1	7
LINC00551	0
LINC00443	0
FAM155A	0
MIR1267	0
FAM155A-IT1	0
LIG4	0
ABHD13	47
TNFSF13B	400
LOC102724347	0
MYO16	0
MYO16-AS1	0
LOC101927627	0
LINC00676	0
IRS2	155
LOC101927695	0
LOC101927646	0
LOC101927712	0
COL4A1	0
COL4A2	0
LOC102724442	0
MIR8073	0
COL4A2-AS2	0
COL4A2-AS1	0
RAB20	0
CARKD	0
CARS2	166
ING1	0
LINC00346	0
ANKRD10	120
RP11-551M15.1	0
ARHGEF7	8
LOC101060553	0
TEX29	0
LOC102724489	0
LOC102724510	0
RP11-75F3.1	0
SOX1	0
LINC00403	0
LOC100506016	0
LINC01070	0
LOC101928730	0
LINC01043	0
SPACA7	0
TUBGCP3	51
C13orf35	0
ATP11A	184
ATP11A-AS1	1
MCF2L	0
MCF2L-AS1	0
F7	0
F10	0
LOC102724474	0
PROZ	0
PCID2	6
CUL4A	109
MIR8075	0
LAMP1	7
GRTP1	0
LOC101928841	0
ADPRHL1	0
DCUN1D2	0
TMCO3	48
TFDP1	70
ATP4B	0
GRK1	0
GRK1-2	0
LINC00552	0
TMEM255B	0
GAS6-AS1	14
GAS6	131
GAS6-AS2	0
LINC00454	0
LINC00452	0
LINC00565	0
LOC100507747	0
LOC102723545	0
RASA3	42
LOC101929355	0
CDC16	159
MIR548AR	0
MIR4502	0
UPF3A	0
CHAMP1	55
LOC102723647	0
LINC01070-2	0
LOC101928730-2	0
LINC01043-2	0
SPACA7-2	0
TUBGCP3-2	0
ATP8A2-2	0
LINC00417-2	0
ANKRD20A9P-2	0
RNU6-55P-2	0
LOC102725001	0
RNU6-76P-2	0
GRK1-3	0
LINC00552-2	0
OR11H12	0
RP11-536C10.7	0
LOC101929972	0
POTEM	0
LOC100508046	0
FLJ39632	0
BMS1P18	0
LOC440157	0
BMS1P17	0
POTEG	0
LOC102724666	0
OR11H2	0
OR4Q3	0
OR4M1	0
OR4N2	0
OR4K2	0
OR4K5	0
OR4K1	0
OR4K15	0
OR4K14	0
OR4K13	0
OR4L1	0
OR4K17	0
OR4N5	0
OR11G2	0
OR11H6	0
OR11H4	0
TTC5	0
CCNB1IP1	1
SNORD126	0
RPPH1	0
PARP2	7
TEP1	51
KLHL33	0
OSGEP	15
APEX1	108
TMEM55B	70
PNP	266
RNASE10	0
RNASE9	0
RNASE11	0
RNASE12	0
RP11-14J7.6	0
TRNAP1	0
TRNAL1	0
TRNAP2	0
TRNAT2	0
TRNAL15	0
TRNAT20	0
TRNAP17	0
OR6S1	0
TRNAY14	0
TRNAY13	0
TRNAY1	0
TRNAY2	0
TRNAT12	0
TRNAY3	0
TRNAP7	0
ANG	5
RNASE4	32
EDDM3A	0
EDDM3B	0
RNASE6	350
RNASE1	79
LOC100507513	0
RNASE3	63
ECRP	51
RNASE2	1441
METTL17	11
RP11-84C10.4	2
SLC39A2	0
NDRG2	38
MIR6717	1
TPPP2	0
RNASE13	0
RNASE7	0
RNASE8	0
ARHGEF40	45
ZNF219	0
TMEM253	0
OR5AU1	0
LINC00641	30
HNRNPC	151
RPGRIP1	0
SUPT16H	7
CHD8	89
SNORD9	1
SNORD8	0
RAB2B	0
TOX4	82
METTL3	7
SALL2	0
OR10G3	0
OR10G2	0
OR4E2	0
LOC101929755	0
LOC102724753	0
DAD1	173
ABHD4	0
OXA1L	177
SLC7A7	380
MRPL52	36
MMP14	0
LRP10	258
REM2	0
RBM23	149
PRMT5	0
RP11-298I3.1	0
TRNAR21	0
HAUS4	80
MIR4707	2
AJUBA	0
LOC102724795	0
C14orf93	0
PSMB5	170
PSMB11	0
CDH24	0
LOC102723563	0
ACIN1	81
C14orf119	46
LOC100128908	0
CEBPE	0
SLC7A8	0
C14orf164	0
HOMEZ	12
PPP1R3E	0
BCL2L2	15
BCL2L2-PABPN1	21
PABPN1	20
SLC22A17	0
EFS	0
IL25	0
CMTM5	0
MYH6	0
MIR208A	0
MYH7	0
MIR208B	0
NGDN	0
THTPA	7
ZFHX2	0
AP1G2	232
LOC102724814	77
JPH4	32
LOC102724824	0
DHRS2	0
LOC102724845	0
DHRS4-AS1	16
DHRS4	30
DHRS4L2	3
DHRS4L1	0
LOC101927011	0
LRRC16B	0
CPNE6	0
NRL	0
PCK2	0
DCAF11	138
FITM1	0
PSME1	185
EMC9	30
PSME2	248
MIR7703	10
RNF31	120
IRF9	127
REC8	9
IPO4	0
TM9SF1	0
TSSK4	0
CHMP4A	86
NEDD8-MDP1	50
MDP1	12
NEDD8	98
GMPR2	0
TINF2	11
TGM1	0
RABGGTA	0
DHRS1	31
NOP9	0
CIDEB	0
LTB4R2	0
LTB4R	24
ADCY4	0
RIPK3	67
NFATC4	0
NYNRIN	0
CBLN3	0
KHNYN	0
SDR39U1	0
LOC101927045	0
CMA1	0
CTSG	0
GZMH	0
GZMB	0
STXBP6	0
NOVA1	0
RP11-626P14.1	0
LOC102724890	0
RP11-384J4.1	0
MIR4307	0
LOC728755	0
LINC00645	0
FOXG1	0
C14orf23	0
LOC102724917	0
LOC102724934	0
PRKD1	0
G2E3	4
SCFD1	46
COCH	0
RP11-829H16.3	0
STRN3	8
MIR624	0
AP4S1	9
HECTD1	0
HEATR5A	0
LOC101927124	0
DTD2	43
GPR33	0
NUBPL	0
ARHGAP5-AS1	0
ARHGAP5	0
RNU6-7	0
RNU6-8	0
AKAP6	0
NPAS3	0
EGLN3	0
LOC102724945	0
SPTSSA	27
LOC102724963	0
EAPP	37
LOC102723306	0
RNU1-27P	0
RNU1-28P	0
LOC102723319	0
SNX6	68
CFL2	0
BAZ1A	144
LOC100506157	0
LOC102723366	0
IGBP1P1	3
SRP54	55
FAM177A1	0
PPP2R3C	55
LOC101927178	3
KIAA0391	56
PSMA6	170
LOC102723388	0
NFKBIA	8622
INSM2	0
RALGAPA1	0
BRMS1L	0
LINC00609	0
PTCSC3	0
LOC101927199	0
LOC102723418	0
MBIP	0
SFTA3	0
NKX2-1	0
NKX2-1-AS1	0
NKX2-8	0
LOC102723434	0
LOC101927291	0
PAX9	0
SLC25A21	2
MIR4503	0
SLC25A21-AS1	0
MIPOL1	0
FOXA1	0
TTC6	0
SSTR1	0
CLEC14A	0
LOC102723503	0
LINC00639	0
LOC102723516	0
SEC23A	228
GEMIN2	3
TRAPPC6B	7
PNN	43
MIA2	0
CTAGE5	40
LOC100288846	0
FBXO33	0
LOC644919	0
LRFN5	0
FSCB	0
LOC101927351	0
LOC101927395	0
C14orf28	0
RP11-857B24.5	0
KLHL28	0
FAM179B	20
PRPF39	50
SNORD127	0
FKBP3	53
FANCM	0
MIS18BP1	62
LINC00871	0
RPL10L	0
MDGA2	0
MIR548Y	0
LINC00648	0
LOC101927483	0
RPS29	179
RN7SL1	1
LRR1	0
RPL36AL	131
MGAT2	0
DNAAF2	0
POLE2	0
KLHDC1	0
KLHDC2	8
NEMF	185
RN7SL2	0
ARF6	199
RP11-58E21.4	0
MIR6076	0
C14orf182	0
RP11-58E21.3	0
C14orf183	0
VCPKMT	54
SOS2	0
L2HGDH	20
MIR4504	0
ATP5S	0
CDKL1	0
MAP4K5	0
ATL1	0
SAV1	0
NIN	0
ABHD12B	0
PYGL	152
TRIM9	0
TMX1	57
LINC00640	0
FRMD6-AS2	0
FRMD6	0
FRMD6-AS1	0
RP11-280K24.4	0
GNG2	0
LOC102723604	0
C14orf166	30
NID2	0
PTGDR	0
PTGER2	483
TXNDC16	0
GPR137C	0
ERO1L	157
PSMC6	65
STYX	20
GNPNAT1	0
FERMT2	0
DDHD1	1
RP11-547D23.1	0
LOC102723621	0
MIR5580	0
BMP4	0
CDKN3	0
CNIH1	59
GMFB	52
CGRRF1	0
SAMD4A	0
LOC729451	0
GCH1	108
MIR4308	0
WDHD1	0
SOCS4	0
MAPK1IP1L	52
LGALS3	511
DLGAP5	0
FBXO34	141
ATG14	0
TBPL2	0
KTN1-AS1	0
KTN1	57
RPL13AP3	0
LINC00520	0
LOC102723670	0
LOC102723682	0
PELI2	111
LOC102723699	0
LOC101927690	0
TMEM260	5
OTX2	0
OTX2-AS1	0
EXOC5	59
AP5M1	4
NAA30	0
C14orf105	0
SLC35F4	0
C14orf37	0
ACTR10	131
TRNAK13	0
PSMA3	293
FLJ31306	58
